sayfa,urun_basligi,katalogdaki_etiketler,etiket_sayisi
2,POLAR MONT,LACİVERT; SİYAH; TURUNCU; HAKİ YEŞİL; KIRMIZI; SAKS MAVİ; GRİ,7
2,POLAR MONT 3 CEPLİ,LACİVERT; SAKS MAVİ; GRİ; SİYAH; KIRMIZI,5
3,SOFTSHELL POLAR MONT,BORDO; LACİVERT; SAKS MAVİ; GRİ; KIRMIZI; SİYAH,6
3,SIFIR YAKA SWEAT 2 İPLİK,FÜME; SİYAH; GRİ; KIRMIZI; LACİVERT; SAKS MAVİ,6
4,POLAR MONT,SAKS MAVİ; KIRMIZI; GRİ; FÜME; SİYAH; TURUNCU,6
5,POLO YAKA KISA KOL,KIRMIZI; LACİVERT; SİYAH; GRİ; SAKS MAVİ; TURKUAZ; TURUNCU,7
5,SIFIR YAKA KISA KOL TİŞÖRT,SAKS MAVİ; TURKUAZ; TURUNCU; GRİ; LACİVERT; SİYAH; KIRMIZI,7
6,İŞ PANTOLONU,KAYNAĞA DAYANIKLI; KAYNAĞA DAYANIKLI; ÇOK CEPLİ; ÇOK CEPLİ; HARMAN GABARDİN; HARMAN GABARDİN; KOT PANTOLON; KOT PANTOLON; LİKRALI; 7/7 GABARDİN; 7/7 GABARDİN; BONDİ İÇİ ELYAFLI; KOT PANTOLON; SU GEÇİRMEZ; İŞ PANTOLONU; İŞ PANTOLONU; SHOFTSHELL; SHOFTSHELL; SHOFTSHELL; SHOFTSHELL; PANTOLON; PANTOLON; PANTOLON; PANTOLON,24
7,İŞ MONTU KIŞLIK,GRİ TURUNCU; GRİ MAVİ; LACİVERT KIRMIZI; KOT İŞ MONTU; LACİVERT,5
7,İŞ YELEĞİ,16/12 ELYAFLI; 7/7 ELYAFLI GABARDİN; GRİ TURUNCU; GABARDİN YELEK; KAYNAKÇI YELEĞİ; ÇOK CEPLİ YELEK,6
8,SOFTSHELL MONT SU GEÇİRMEZ,HAKİ SİYAH; SİYAH GRİ; ANTRASİT GRİ; SİYAH; HAKİ SİYAH,5
8,SOFTSHELL YELEK SU GEÇİRMEZ,ANTRASİT; GRİ; SİYAH; KIRMIZI,4
9,3 CEPLİ YELEK,HAKİ YEŞİL; LACİVERT; SİYAH,3
9,RAY DESENLİ YELEK,LACİVERT; SİYAH; MAVİ,3
9,KAPİTONELİ YELEK,HAKİ YEŞİL; KIRMIZI; LACİVERT,3
10,ASKILI ve KOLLU TULUM,LACİVERT; GRİ; GRİ; LACİVERT; GRİ; TURUNCU; TURUNCU,7
10,MÜHENDİS YÖNETİCİ İKAZ YELEĞİ,SARI; TURUNCU; SARI; TURUNCU; TURUNCU - LACİVERT,5
11,MÜHENDİS ve İŞÇİ İKAZ YELEĞİ,MÜHENDİS MAVİ; MÜHENDİS SARI; MÜHENDİS TURUNCU; KIRMIZI; MAVİ; TURUNCU; YEŞİL,7
11,5İN1 KABAN ve PARKA,BONDİD KUMAŞ; BONDİD KUMAŞ; 5+1 TURUNCU; 5+1 SARI; OXFORT KUMAŞ; OXFORT KUMAŞ; OXFORT KUMAŞ; ELYAFLI SARI; ELYAFLI SİYAH; ELYAFLI TURUNCU,10
12,İŞ AYAKKABISI,,0
13,ÖZEL GÜVENLİK,KIŞLIK SWEAT; YAZLIK KISA KOL; TİŞÖRT; PANTOLON; YAĞMURLUK; ŞAPKA; SOFTSHELL MONT; KABAN,8
14,PVC YAĞMURLUK,,0
14,EŞOFMAN ve FORMA ÇEŞİTLERİ,,0
15,AŞÇI ÜNİFORMALARI,ALPAKA ASKILI ÖNLÜK; ALPAKA AŞÇI CEKETİ,2
15,AŞÇI TAKIMI,,0
16,HEMŞİRE ÖNLÜĞÜ,,0
16,DOKTOR ÖNLÜĞÜ,,0
17,POLYESTER ve GABARDİN ŞAPKA,,0
18,POLAR BERE ve BOYUNLUK,POLAR BERE LACİVERT; POLAR BERE SİYAH; POLAR BOYUNLUK & BERE; ÖZEL BASKILI; BERE ÇEŞİTLERİ; ÖRME ELDİVEN,6
18,ELDİVEN ÇEŞİTLERİ,,0
19,PLASTİK ve METAL KALEM ÇEŞİTLERİ,,0
19,ÇAKMAK ÇEŞİTLERİ,,0
20,AJANDA ve DEFTERLER,,0
20,DUVAR SAATLERİ,,0
21,KUPA ve ANAHTARLIK ÇEŞİTLERİ,,0
21,MATBAA ÜRÜNLERİ,,0
22,TERMOS ÇEŞİTLERİ,,0
22,TEKNOLOJİK ÜRÜN ve MASA SETLERİ,Powerbank; Powerbank; Masa Set; USB Bellek Çeş; W; ö; öreless Stand Set; ötlerö,8
23,REFERANSLARIMIZ,,0
